"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"1990","JUPITERINLET","FLAGLERBEACH",26.9443142,-80.0723599,29.4749754,-81.1270035
"1991","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1992","CAPESABLE","SUWANNEERIVER",25.2728989,-81.1214658,30.0098906,-82.8789266
"1993","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
"1994","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1995","CAPESABLE","SUWANNEERIVER",25.2728989,-81.1214658,30.0098906,-82.8789266
"1996","FLORIDACITY","FLAGLERBEACH",25.4478898,-80.4792237,29.4749754,-81.1270035
"1997","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"1998","CAPESABLE","SUWANNEERIVER",25.2728989,-81.1214658,30.0098906,-82.8789266
"1999","BOCARATON","FLAGLERBEACH",26.3683064,-80.1289321,29.4749754,-81.1270035
"2000","FLORIDACITY","BOCARATON",25.4478898,-80.4792237,26.3683064,-80.1289321
"2001","BONITABEACH","SUWANNEERIVER",26.3514726,-81.855088,30.0098906,-82.8789266
"2002","CAPESABLE","SUWANNEERIVER",25.2728989,-81.1214658,30.0098906,-82.8789266
"2003","BOCARATON","FLAGLERBEACH",26.3683064,-80.1289321,29.4749754,-81.1270035
"2004","FLORIDACITY","BOCARATON",25.4478898,-80.4792237,26.3683064,-80.1289321
"2005","BLACKWATERSOUND","LONGBOATKEY",25.1741461,-80.4215246,27.4125417,-82.6589881
"2006","DRYTORTUGAS","SEBASTIANINLET",24.633333,-82.92,27.860302,-80.4472737
"2007","BLACKWATERSOUND","LONGBOATKEY",25.1741461,-80.4215246,27.4125417,-82.6589881
"2008","DRYTORTUGAS","SEBASTIANINLET",24.633333,-82.92,27.860302,-80.4472737
"2009","BLACKWATERSOUND","BONITABEACH",25.1741461,-80.4215246,26.3307323,-81.8456326
"2010","DRYTORTUGAS","JUPITERINLET",24.633333,-82.92,26.9443142,-80.0723599
"2011","CRAIGKEY","JUPITERINLET",24.8384464,-80.7586809,26.9443142,-80.0723599
"2012","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
"2013","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
"2014","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
"2015","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
"2016","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
"2017","CRAIGKEY","DRYTORTUGAS",24.8384464,-80.7586809,24.633333,-82.92
